site_id,koppen_class_before,koppen_class_after,changed,newly_classified,lost_classification
US-CS2,Dfb,Dfb,FALSE,FALSE,FALSE
US-CS3,Dfb,Dfb,FALSE,FALSE,FALSE
US-CS4,Dfb,Dfb,FALSE,FALSE,FALSE
US-CS5,Dfb,Dfb,FALSE,FALSE,FALSE
US-CS6,Dfb,Dfb,FALSE,FALSE,FALSE
US-CS8,Dfb,Dfb,FALSE,FALSE,FALSE
US-CdM,BWk,BWk,FALSE,FALSE,FALSE
US-Ced,Cfa,Cfa,FALSE,FALSE,FALSE
US-ChR,Cfa,Cfa,FALSE,FALSE,FALSE
US-Cms,ET,ET,FALSE,FALSE,FALSE
US-Cop,BWk,BWk,FALSE,FALSE,FALSE
US-Cst,Cfa,Cfa,FALSE,FALSE,FALSE
US-Cwt,NA,NA,FALSE,FALSE,FALSE
US-DFC,Dfa,Dfa,FALSE,FALSE,FALSE
US-DFK,Dfb,Dfb,FALSE,FALSE,FALSE
US-DPW,Cfa,Cfa,FALSE,FALSE,FALSE
US-DS1,Csb,Csb,FALSE,FALSE,FALSE
US-DS2,Csb,Csb,FALSE,FALSE,FALSE
US-DS3,Csb,Csb,FALSE,FALSE,FALSE
US-Dix,Cfa,Cfa,FALSE,FALSE,FALSE
US-Dk1,Cfa,Cfa,FALSE,FALSE,FALSE
US-Dk2,Cfa,Cfa,FALSE,FALSE,FALSE
US-Dk3,Cfa,Cfa,FALSE,FALSE,FALSE
US-Dmg,Csb,Csb,FALSE,FALSE,FALSE
US-EA4,Cfa,Cfa,FALSE,FALSE,FALSE
US-EA5,BSh,BSh,FALSE,FALSE,FALSE
US-EA6,Cfa,Cfa,FALSE,FALSE,FALSE
US-EDN,Csb,Csb,FALSE,FALSE,FALSE
US-EKH,BWk,BWk,FALSE,FALSE,FALSE
US-EKN,BWk,BWk,FALSE,FALSE,FALSE
US-EKP,BWk,BWk,FALSE,FALSE,FALSE
US-EML,Dfc,Dfc,FALSE,FALSE,FALSE
US-Elm,Aw,Aw,FALSE,FALSE,FALSE
US-Esm,Aw,Aw,FALSE,FALSE,FALSE
US-EvM,Aw,Aw,FALSE,FALSE,FALSE
US-Fcr,Dfc,Dfc,FALSE,FALSE,FALSE
US-Fmf,Csb,Csb,FALSE,FALSE,FALSE
US-Fo1,BSk,BSk,FALSE,FALSE,FALSE
US-Fo2,BSk,BSk,FALSE,FALSE,FALSE
US-Fuf,Dsb,Dsb,FALSE,FALSE,FALSE
US-Fwf,Dsb,Dsb,FALSE,FALSE,FALSE
US-GLE,Dfc,Dfc,FALSE,FALSE,FALSE
US-HB1,BSh,BSh,FALSE,FALSE,FALSE
US-HB2,Cfa,Cfa,FALSE,FALSE,FALSE
US-HB3,Cfa,Cfa,FALSE,FALSE,FALSE
US-HB4,NA,NA,FALSE,FALSE,FALSE
US-HBK,Dfb,Dfb,FALSE,FALSE,FALSE
US-HRA,BSk,BSk,FALSE,FALSE,FALSE
US-HRC,BSk,BSk,FALSE,FALSE,FALSE
US-HVs,Dfc,Dfc,FALSE,FALSE,FALSE
US-HWB,Dfb,Dfb,FALSE,FALSE,FALSE
US-Ha1,Dfb,Dfb,FALSE,FALSE,FALSE
US-Hn2,BWk,BWk,FALSE,FALSE,FALSE
US-Hn3,BWk,BWk,FALSE,FALSE,FALSE
US-Ho2,Dfb,Dfb,FALSE,FALSE,FALSE
US-Ho3,Dfb,Dfb,FALSE,FALSE,FALSE
US-Hsm,Csb,Csb,FALSE,FALSE,FALSE
US-IAB,Dfa,Dfa,FALSE,FALSE,FALSE
US-IAC,Dfb,Dfb,FALSE,FALSE,FALSE
US-IAM,Dfa,Dfa,FALSE,FALSE,FALSE
US-ICh,ET,ET,FALSE,FALSE,FALSE
US-ICs,Dfc,Dfc,FALSE,FALSE,FALSE
US-ICt,Dfc,Dfc,FALSE,FALSE,FALSE
US-Jo1,BWk,BWk,FALSE,FALSE,FALSE
US-Jo2,BSk,BSk,FALSE,FALSE,FALSE
US-KFS,Dfa,Dfa,FALSE,FALSE,FALSE
US-KPL,Dfc,Dfc,FALSE,FALSE,FALSE
US-KS1,Cfa,Cfa,FALSE,FALSE,FALSE
US-KS2,Cfa,Cfa,FALSE,FALSE,FALSE
US-KS3,BWh,BWh,FALSE,FALSE,FALSE
US-Kon,Dfa,Dfa,FALSE,FALSE,FALSE
US-LA2,Cfa,Cfa,FALSE,FALSE,FALSE
US-LA3,BSh,BSh,FALSE,FALSE,FALSE
US-LS1,BSk,BSk,FALSE,FALSE,FALSE
US-Lin,BSk,BSk,FALSE,FALSE,FALSE
US-Los,Dfb,Dfb,FALSE,FALSE,FALSE
US-MBP,Dfb,Dfb,FALSE,FALSE,FALSE
US-MEF,Dfb,Dfb,FALSE,FALSE,FALSE
US-MMS,Dfa,Dfa,FALSE,FALSE,FALSE
US-MN1,Dfb,Dfb,FALSE,FALSE,FALSE
US-MN2,Dfb,Dfb,FALSE,FALSE,FALSE
US-MN3,Dfb,Dfb,FALSE,FALSE,FALSE
US-MOz,Dfa,Dfa,FALSE,FALSE,FALSE
US-MZA,Dfb,Dfb,FALSE,FALSE,FALSE
US-Me1,BSk,BSk,FALSE,FALSE,FALSE
US-Me3,Dsb,Dsb,FALSE,FALSE,FALSE
US-Me5,Csb,Csb,FALSE,FALSE,FALSE
US-Me6,Dsb,Dsb,FALSE,FALSE,FALSE
US-Me7,Dsb,Dsb,FALSE,FALSE,FALSE
US-Mo1,Dfa,Dfa,FALSE,FALSE,FALSE
US-Mo2,Dfa,Dfa,FALSE,FALSE,FALSE
US-Mo3,Dfa,Dfa,FALSE,FALSE,FALSE
US-Mpj,BSk,BSk,FALSE,FALSE,FALSE
US-MtB,Csb,Csb,FALSE,FALSE,FALSE
US-Myb,BSk,BSk,FALSE,FALSE,FALSE
US-NC1,Cfa,Cfa,FALSE,FALSE,FALSE
US-NC2,Cfa,Cfa,FALSE,FALSE,FALSE
US-NC3,Cfa,Cfa,FALSE,FALSE,FALSE
US-NC4,Cfa,Cfa,FALSE,FALSE,FALSE
US-NC5,Cfa,Cfa,FALSE,FALSE,FALSE
US-NGB,ET,ET,FALSE,FALSE,FALSE
US-NGC,Dfc,Dfc,FALSE,FALSE,FALSE
US-NR1,Dfc,Dfc,FALSE,FALSE,FALSE
US-NR3,ET,ET,FALSE,FALSE,FALSE
US-NSa,Csa,Csa,FALSE,FALSE,FALSE
US-NSb,Csa,Csa,FALSE,FALSE,FALSE
US-Ne1,Dfa,Dfa,FALSE,FALSE,FALSE
US-Ne2,Dfa,Dfa,FALSE,FALSE,FALSE
US-Ne3,Dfa,Dfa,FALSE,FALSE,FALSE
US-ONA,Cfa,Cfa,FALSE,FALSE,FALSE
US-OPE,Cfa,Cfa,FALSE,FALSE,FALSE
US-OWC,Dfa,Dfa,FALSE,FALSE,FALSE
US-Oho,Dfa,Dfa,FALSE,FALSE,FALSE
US-PAS,Cfa,Cfa,FALSE,FALSE,FALSE
US-PFL,Dfb,Dfb,FALSE,FALSE,FALSE
US-PFb,Dfb,Dfb,FALSE,FALSE,FALSE
US-PFc,Dfb,Dfb,FALSE,FALSE,FALSE
US-PFd,Dfb,Dfb,FALSE,FALSE,FALSE
US-PFf,Dfb,Dfb,FALSE,FALSE,FALSE
US-PFg,Dfb,Dfb,FALSE,FALSE,FALSE
US-PFh,Dfb,Dfb,FALSE,FALSE,FALSE
US-PFi,Dfb,Dfb,FALSE,FALSE,FALSE
US-PFj,Dfb,Dfb,FALSE,FALSE,FALSE
US-PFk,Dfb,Dfb,FALSE,FALSE,FALSE
US-PFm,Dfb,Dfb,FALSE,FALSE,FALSE
US-PFn,Dfb,Dfb,FALSE,FALSE,FALSE
US-PFp,Dfb,Dfb,FALSE,FALSE,FALSE
US-PFq,Dfb,Dfb,FALSE,FALSE,FALSE
US-PFr,Dfb,Dfb,FALSE,FALSE,FALSE
US-PFt,Dfb,Dfb,FALSE,FALSE,FALSE
US-PLo,Dfb,Dfb,FALSE,FALSE,FALSE
US-PSH,Csa,Csa,FALSE,FALSE,FALSE
US-PSL,Csa,Csa,FALSE,FALSE,FALSE
US-Prr,Dfc,Dfc,FALSE,FALSE,FALSE
US-RC1,Dsb,Dsb,FALSE,FALSE,FALSE
US-RC2,BSk,BSk,FALSE,FALSE,FALSE
US-RC3,Dsa,Dsa,FALSE,FALSE,FALSE
US-RC4,Dsb,Dsb,FALSE,FALSE,FALSE
US-RC5,BSk,BSk,FALSE,FALSE,FALSE
US-RGA,Cfa,Cfa,FALSE,FALSE,FALSE
US-RGB,Csa,Csa,FALSE,FALSE,FALSE
US-RGF,BSk,BSk,FALSE,FALSE,FALSE
US-RGW,Cfa,Cfa,FALSE,FALSE,FALSE
US-RGo,Csa,Csa,FALSE,FALSE,FALSE
US-RRC,Cfa,Cfa,FALSE,FALSE,FALSE
US-Rls,Dsb,Dsb,FALSE,FALSE,FALSE
US-Rms,Dsb,Dsb,FALSE,FALSE,FALSE
US-Ro1,Dfb,Dfb,FALSE,FALSE,FALSE
US-Ro2,Dfb,Dfb,FALSE,FALSE,FALSE
US-Ro3,Dfa,Dfa,FALSE,FALSE,FALSE
US-Ro4,Dfb,Dfb,FALSE,FALSE,FALSE
US-Ro5,Dfb,Dfb,FALSE,FALSE,FALSE
US-Ro6,Dfb,Dfb,FALSE,FALSE,FALSE
US-Rpf,Dfc,Dfc,FALSE,FALSE,FALSE
US-Rwe,Dsb,Dsb,FALSE,FALSE,FALSE
US-Rwf,Dsb,Dsb,FALSE,FALSE,FALSE
US-Rws,Dsb,Dsb,FALSE,FALSE,FALSE
US-SD1,Dfa,Dfa,FALSE,FALSE,FALSE
US-SD2,BSk,BSk,FALSE,FALSE,FALSE
US-SHC,Dsb,Dsb,FALSE,FALSE,FALSE
US-SP1,Cfa,Cfa,FALSE,FALSE,FALSE
US-SRC,BWh,BWh,FALSE,FALSE,FALSE
US-SRG,BSh,BSh,FALSE,FALSE,FALSE
US-SRM,BSh,BSh,FALSE,FALSE,FALSE
US-SRS,BSh,BSh,FALSE,FALSE,FALSE
US-SSH,Dfa,Dfa,FALSE,FALSE,FALSE
US-Sag,BWk,BWk,FALSE,FALSE,FALSE
US-Seg,BWk,BWk,FALSE,FALSE,FALSE
US-Ses,BWk,BWk,FALSE,FALSE,FALSE
US-Slt,Cfa,Cfa,FALSE,FALSE,FALSE
US-Sne,Csb,Csb,FALSE,FALSE,FALSE
US-Snf,Csb,Csb,FALSE,FALSE,FALSE
US-Srr,Csb,Csb,FALSE,FALSE,FALSE
US-StJ,Cfa,Cfa,FALSE,FALSE,FALSE
US-Sta,Dfb,Dfb,FALSE,FALSE,FALSE
US-Syv,Dfb,Dfb,FALSE,FALSE,FALSE
US-TKs,Dfc,Dfc,FALSE,FALSE,FALSE
US-TLR,BWk,BWk,FALSE,FALSE,FALSE
US-TaS,Af,Af,FALSE,FALSE,FALSE
US-Ton,Csa,Csa,FALSE,FALSE,FALSE
US-Tw1,Csb,Csb,FALSE,FALSE,FALSE
US-Tw2,Csb,Csb,FALSE,FALSE,FALSE
US-Tw3,BSk,BSk,FALSE,FALSE,FALSE
US-Tw4,Csb,Csb,FALSE,FALSE,FALSE
US-Tw5,Csb,Csb,FALSE,FALSE,FALSE
US-Twt,Csb,Csb,FALSE,FALSE,FALSE
US-UC1,Dfb,Dfb,FALSE,FALSE,FALSE
US-UC2,Dfb,Dfb,FALSE,FALSE,FALSE
US-UMd,Dfb,Dfb,FALSE,FALSE,FALSE
US-UTB,BWk,BWk,FALSE,FALSE,FALSE
US-UTD,BWk,BWk,FALSE,FALSE,FALSE
US-UTE,BWk,BWk,FALSE,FALSE,FALSE
US-UTJ,Dsa,Dsa,FALSE,FALSE,FALSE
US-UTL,BWk,BWk,FALSE,FALSE,FALSE
US-UTM,BWk,BWk,FALSE,FALSE,FALSE
US-UTP,BSk,BSk,FALSE,FALSE,FALSE
US-UTV,BWk,BWk,FALSE,FALSE,FALSE
US-UTW,Dsa,Dsa,FALSE,FALSE,FALSE
US-Uaf,Dfc,Dfc,FALSE,FALSE,FALSE
US-UiA,Dfa,Dfa,FALSE,FALSE,FALSE
US-UiB,Dfa,Dfa,FALSE,FALSE,FALSE
US-UiC,Dfa,Dfa,FALSE,FALSE,FALSE
US-UiD,Dfa,Dfa,FALSE,FALSE,FALSE
US-UiE,Dfa,Dfa,FALSE,FALSE,FALSE
US-UiF,Dfa,Dfa,FALSE,FALSE,FALSE
US-UiG,Dfa,Dfa,FALSE,FALSE,FALSE
US-VT1,Dfa,Dfa,FALSE,FALSE,FALSE
US-VT2,Dfa,Dfa,FALSE,FALSE,FALSE
US-Var,Csa,Csa,FALSE,FALSE,FALSE
US-Vcm,Dfc,Dfc,FALSE,FALSE,FALSE
US-Vcp,Dfb,Dfb,FALSE,FALSE,FALSE
US-WCr,Dfb,Dfb,FALSE,FALSE,FALSE
US-WPT,Dfa,Dfa,FALSE,FALSE,FALSE
US-WT1,Cfa,Cfa,FALSE,FALSE,FALSE
US-Whs,BWk,BWk,FALSE,FALSE,FALSE
US-Wjs,BSk,BSk,FALSE,FALSE,FALSE
US-Wkg,BSk,BSk,FALSE,FALSE,FALSE
US-YK1,Dfc,Dfc,FALSE,FALSE,FALSE
US-YK2,Dfc,Dfc,FALSE,FALSE,FALSE
US-ZF2,BSk,BSk,FALSE,FALSE,FALSE
US-xAB,Csb,Csb,FALSE,FALSE,FALSE
US-xAE,Cfa,Cfa,FALSE,FALSE,FALSE
US-xBA,BSk,BSk,FALSE,FALSE,FALSE
US-xBL,Cfa,Cfa,FALSE,FALSE,FALSE
US-xBN,Dfc,Dfc,FALSE,FALSE,FALSE
US-xBR,Dfb,Dfb,FALSE,FALSE,FALSE
US-xCL,Cfa,Cfa,FALSE,FALSE,FALSE
US-xCP,BSk,BSk,FALSE,FALSE,FALSE
US-xDC,Dfb,Dfb,FALSE,FALSE,FALSE
US-xDJ,BSk,BSk,FALSE,FALSE,FALSE
US-xDL,Cfa,Cfa,FALSE,FALSE,FALSE
US-xDS,Cfa,Cfa,FALSE,FALSE,FALSE
US-xGR,Cfa,Cfa,FALSE,FALSE,FALSE
US-xHE,Dfc,Dfc,FALSE,FALSE,FALSE
US-xJE,Cfa,Cfa,FALSE,FALSE,FALSE
US-xJR,BWk,BWk,FALSE,FALSE,FALSE
US-xKZ,Dfa,Dfa,FALSE,FALSE,FALSE
US-xLE,Cfa,Cfa,FALSE,FALSE,FALSE
US-xMB,BWk,BWk,FALSE,FALSE,FALSE
US-xML,Dfb,Dfb,FALSE,FALSE,FALSE
US-xNG,BSk,BSk,FALSE,FALSE,FALSE
US-xNQ,BWk,BWk,FALSE,FALSE,FALSE
US-xNW,ET,ET,FALSE,FALSE,FALSE
US-xPU,Cfb,Cfb,FALSE,FALSE,FALSE
US-xRM,Dfb,Dfb,FALSE,FALSE,FALSE
US-xRN,Cfa,Cfa,FALSE,FALSE,FALSE
US-xSB,Cfa,Cfa,FALSE,FALSE,FALSE
US-xSC,Cfa,Cfa,FALSE,FALSE,FALSE
US-xSE,Cfa,Cfa,FALSE,FALSE,FALSE
US-xSJ,Csa,Csa,FALSE,FALSE,FALSE
US-xSL,BSk,BSk,FALSE,FALSE,FALSE
US-xSP,Csa,Csa,FALSE,FALSE,FALSE
US-xSR,BWh,BWh,FALSE,FALSE,FALSE
US-xST,Dfb,Dfb,FALSE,FALSE,FALSE
US-xTE,Csb,Csb,FALSE,FALSE,FALSE
US-xTL,Dfc,Dfc,FALSE,FALSE,FALSE
US-xTR,Dfb,Dfb,FALSE,FALSE,FALSE
US-xUK,Dfa,Dfa,FALSE,FALSE,FALSE
US-xUN,Dfb,Dfb,FALSE,FALSE,FALSE
US-xWD,Dfb,Dfb,FALSE,FALSE,FALSE
US-xWR,Csb,Csb,FALSE,FALSE,FALSE
US-xYE,Dfb,Dfb,FALSE,FALSE,FALSE
VU-Coc,Af,Af,FALSE,FALSE,FALSE
ZA-BfK,BSh,BSh,FALSE,FALSE,FALSE
ZA-BfS,BSh,BSh,FALSE,FALSE,FALSE
ZA-Jks,Cfb,Cfb,FALSE,FALSE,FALSE
ZA-Spk,BSk,BSk,FALSE,FALSE,FALSE
ZA-Uby,Cfa,Cfa,FALSE,FALSE,FALSE
ZM-Mon,BSh,BSh,FALSE,FALSE,FALSE
BE-Maa,Cfb,Cfb,FALSE,FALSE,FALSE
BE-Vie,Cfb,Cfb,FALSE,FALSE,FALSE
CD-Ygb,Af,Af,FALSE,FALSE,FALSE
CH-Dav,Dfc,Dfc,FALSE,FALSE,FALSE
CZ-BK1,Dfb,Dfb,FALSE,FALSE,FALSE
CZ-Lnz,Cfb,Cfb,FALSE,FALSE,FALSE
CZ-wet,Dfb,Dfb,FALSE,FALSE,FALSE
DE-Amv,Cfb,Cfb,FALSE,FALSE,FALSE
DE-Brs,Cfb,Cfb,FALSE,FALSE,FALSE
DE-Fen,Dfb,Dfb,FALSE,FALSE,FALSE
DE-Gri,Dfb,Dfb,FALSE,FALSE,FALSE
DE-GsB,Cfb,Cfb,FALSE,FALSE,FALSE
DE-Gwg,Dfb,Dfb,FALSE,FALSE,FALSE
DE-Hai,Cfb,Cfb,FALSE,FALSE,FALSE
DE-Har,Cfb,Cfb,FALSE,FALSE,FALSE
DE-HoH,Cfb,Cfb,FALSE,FALSE,FALSE
DE-Hte,Cfb,Cfb,FALSE,FALSE,FALSE
DE-Hzd,Cfb,Cfb,FALSE,FALSE,FALSE
DE-Msr,Dfb,Dfb,FALSE,FALSE,FALSE
DE-RuR,Cfb,Cfb,FALSE,FALSE,FALSE
DE-RuW,Cfb,Cfb,FALSE,FALSE,FALSE
DE-Tha,Cfb,Cfb,FALSE,FALSE,FALSE
DK-RCW,BSk,BSk,FALSE,FALSE,FALSE
ES-LMa,Csa,Csa,FALSE,FALSE,FALSE
FI-Hyy,Dfc,Dfc,FALSE,FALSE,FALSE
FI-Ken,Dfc,Dfc,FALSE,FALSE,FALSE
FI-Let,Dfb,Dfb,FALSE,FALSE,FALSE
FI-Var,Dfc,Dfc,FALSE,FALSE,FALSE
FR-Bil,Cfb,Cfb,FALSE,FALSE,FALSE
FR-CLt,Dfc,Dfc,FALSE,FALSE,FALSE
FR-EM2,Cfb,Cfb,FALSE,FALSE,FALSE
FR-Gri,Cfb,Cfb,FALSE,FALSE,FALSE
FR-Hes,Cfb,Cfb,FALSE,FALSE,FALSE
FR-LGt,Cfb,Cfb,FALSE,FALSE,FALSE
FR-Pue,Csa,Csa,FALSE,FALSE,FALSE
IT-BCi,Csa,Csa,FALSE,FALSE,FALSE
IT-Cp2,Csa,Csa,FALSE,FALSE,FALSE
IT-MBo,NA,Dfc,FALSE,TRUE,FALSE
IT-Ren,Dfc,Dfc,FALSE,FALSE,FALSE
IT-SR2,Csa,Csa,FALSE,FALSE,FALSE
JP-Api,NA,NA,FALSE,FALSE,FALSE
JP-Om2,NA,NA,FALSE,FALSE,FALSE
NL-Loo,Cfb,Cfb,FALSE,FALSE,FALSE
SE-Svb,Dfc,Dfc,FALSE,FALSE,FALSE
DK-Fou,Cfb,Cfb,FALSE,FALSE,FALSE
ES-Pdu,Csa,Csa,FALSE,FALSE,FALSE
IT-Cpz,Csa,Csa,FALSE,FALSE,FALSE
IT-PT1,Cfa,Cfa,FALSE,FALSE,FALSE
SJ-Adv,BSk,BSk,FALSE,FALSE,FALSE
IT-MtP,Dfb,Dfb,FALSE,FALSE,FALSE
IT-Ro1,Csa,Csa,FALSE,FALSE,FALSE
JP-Nkm,NA,NA,FALSE,FALSE,FALSE
JP-Tgf,Cfa,Cfa,FALSE,FALSE,FALSE
US-xTA,Cfa,Cfa,FALSE,FALSE,FALSE
ES-LgS,Dsb,Dsb,FALSE,FALSE,FALSE
FI-Si2,Dfb,Dfb,FALSE,FALSE,FALSE
IT-Ro2,Csa,Csa,FALSE,FALSE,FALSE
US-KLS,BSk,BSk,FALSE,FALSE,FALSE
DK-Eng,Cfb,Cfb,FALSE,FALSE,FALSE
ES-Ln2,Csb,Csb,FALSE,FALSE,FALSE
IT-MtM,Dfb,Dfb,FALSE,FALSE,FALSE
HK-MPM,Cfa,Cfa,FALSE,FALSE,FALSE
US-xKA,Dfa,Dfa,FALSE,FALSE,FALSE
US-LS2,BSk,BSk,FALSE,FALSE,FALSE
US-ZF1,BSk,BSk,FALSE,FALSE,FALSE
US-xHA,Dfb,Dfb,FALSE,FALSE,FALSE
